-84.537	-40.413	-13.423	-97.651	-622.600	-2354.432	-588.013	-269.369	-157.327	-103.242	-71.057	-51.215	-39.157	-32.415	-29.665	-30.381	-34.736	-43.685	-59.289	-85.567	-131.200	-226.779	-483.493	-1664.069	-461.267	-225.586	-177.510	-67.232
-22.861	2.066	-0.224	1.926	4.023	-829.053	4.075	2.805	1.996	1.258	0.807	0.541	0.392	0.316	0.285	0.290	0.332	0.422	0.592	0.889	1.426	1.920	3.512	-304.116	0.468	1.142	1.205	81.449
312.272	-59.895	-41.704	211.546	483.616	319.537	503.108	354.195	179.437	55.394	-23.818	-70.451	-96.014	-108.717	-113.583	-112.873	-106.359	-91.162	-61.190	-6.488	88.934	239.618	490.371	795.309	-9.821	-7.731	-7.023	36.460
-50.592	0.575	0.464	0.245	0.388	161.683	0.410	0.329	0.092	0.066	0.081	0.089	0.091	0.092	0.091	0.093	0.097	0.101	0.106	0.104	0.148	0.069	0.363	439.762	-1.162	0.529	0.109	8.673
-66.397	0.118	-0.163	0.171	0.159	349.688	0.230	0.193	0.119	0.062	0.050	0.052	0.056	0.059	0.061	0.062	0.063	0.064	0.065	0.073	0.084	0.161	0.186	428.298	0.011	-0.060	0.081	-2.891
-37.034	0.118	0.000	0.027	0.013	405.088	0.200	0.143	0.110	0.079	0.062	0.056	0.055	0.057	0.058	0.059	0.059	0.061	0.065	0.072	0.094	0.125	0.122	392.161	0.117	0.051	0.056	-6.292
-21.427	0.084	0.015	-0.004	-0.014	395.476	0.154	0.116	0.095	0.079	0.067	0.060	0.057	0.057	0.057	0.057	0.058	0.060	0.064	0.069	0.080	0.086	0.092	335.708	0.093	0.064	0.101	-7.818
-11.575	0.083	0.007	-0.009	0.003	358.720	0.130	0.090	0.080	0.072	0.066	0.060	0.057	0.056	0.056	0.056	0.056	0.057	0.060	0.062	0.064	0.064	0.080	274.855	0.077	0.054	0.124	-8.401
-5.144	0.083	0.006	-0.006	0.025	314.203	0.117	0.072	0.067	0.064	0.062	0.058	0.056	0.055	0.054	0.054	0.054	0.054	0.054	0.053	0.052	0.050	0.071	218.469	0.068	0.045	0.130	-8.317
-0.960	0.086	0.008	0.000	0.043	271.348	0.110	0.059	0.057	0.057	0.057	0.055	0.052	0.053	0.052	0.052	0.051	0.050	0.049	0.047	0.043	0.041	0.064	170.540	0.062	0.039	0.128	-7.831
1.718	0.090	0.012	0.007	0.057	234.533	0.106	0.051	0.049	0.051	0.052	0.052	0.052	0.051	0.051	0.050	0.049	0.047	0.045	0.042	0.037	0.035	0.059	132.489	0.058	0.035	0.122	-7.185
3.389	0.094	0.015	0.012	0.066	205.573	0.103	0.046	0.044	0.046	0.049	0.049	0.050	0.050	0.049	0.048	0.046	0.045	0.042	0.038	0.034	0.031	0.055	104.453	0.054	0.032	0.115	-6.555
4.394	0.097	0.018	0.016	0.072	185.040	0.100	0.042	0.041	0.043	0.046	0.047	0.048	0.048	0.047	125.000	0.045	0.043	0.040	0.036	0.031	0.028	0.052	86.071	0.052	0.031	0.110	-6.053
4.954	0.099	0.020	0.018	0.074	172.946	0.098	0.040	0.039	0.042	0.045	0.046	0.047	0.047	0.046	0.046	0.044	0.042	0.039	0.035	0.030	0.027	0.050	76.902	0.050	0.030	0.106	-5.747
5.200	0.100	0.021	0.019	0.074	169.081	0.097	0.040	0.039	0.041	0.044	0.045	0.046	0.046	0.046	0.045	0.044	0.042	0.039	0.035	0.030	0.027	0.049	76.650	0.049	0.030	0.104	-5.662
5.176	0.100	0.021	0.018	0.071	173.130	0.097	0.041	0.040	0.042	0.045	0.046	0.046	0.046	0.046	0.045	0.044	0.042	0.040	0.036	0.032	0.029	0.048	85.239	0.048	0.030	0.105	-5.788
4.850	0.099	0.020	0.016	0.065	184.625	0.097	0.044	0.042	0.044	0.046	0.047	0.047	0.047	0.046	0.046	0.045	0.044	0.042	0.038	0.034	0.031	0.048	102.787	0.048	0.032	0.106	-6.081
4.133	0.098	0.020	0.014	0.057	202.722	0.098	0.048	0.046	0.047	0.048	0.048	0.048	0.048	0.047	0.047	0.046	0.046	0.045	0.042	0.039	0.035	0.049	129.455	0.048	0.035	0.108	-6.457
2.891	0.099	0.021	0.012	0.045	225.713	0.100	0.056	0.052	0.052	0.051	0.049	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.047	0.045	0.042	0.051	165.116	0.049	0.039	0.108	-6.786
0.965	0.103	0.027	0.015	0.031	250.128	0.104	0.067	0.061	0.056	0.053	0.050	0.049	0.049	0.049	0.049	0.050	0.051	0.053	0.054	0.054	0.052	0.054	208.719	0.053	0.046	0.104	-6.889
-1.783	0.110	0.043	0.027	0.017	268.918	0.112	0.083	0.071	0.061	0.054	0.050	0.048	0.048	0.049	0.050	0.051	0.053	0.056	0.061	0.067	0.070	0.059	257.127	0.062	0.056	0.089	-6.589
-5.286	0.147	0.070	0.049	0.030	268.638	0.136	0.102	0.082	0.062	0.050	0.047	0.047	0.048	0.049	0.050	0.052	0.054	0.058	0.065	0.080	0.097	0.075	303.131	0.078	0.055	0.062	-5.784
-10.297	0.277	-0.022	0.126	0.094	220.822	0.134	0.145	0.090	0.048	0.043	0.045	0.048	0.050	0.051	0.052	0.054	0.056	0.059	0.066	0.081	0.130	0.103	331.724	0.024	-0.016	0.081	-4.055
-39.055	0.579	0.114	0.191	0.261	79.413	0.278	0.235	0.053	0.052	0.068	0.073	0.073	0.072	0.071	0.071	0.074	0.079	0.084	0.084	0.115	0.087	0.215	330.049	-0.779	0.371	0.104	3.049
-65.806	47.183	118.096	241.956	382.594	210.689	345.523	227.452	114.673	39.324	-6.956	-33.088	-46.767	-53.393	-56.302	-57.117	-55.953	-51.328	-39.751	-15.122	33.354	118.718	287.465	529.601	-8.557	-5.816	-5.377	23.203
-44.516	1.814	1.091	1.884	3.676	-631.368	3.289	1.808	1.437	1.017	0.762	0.613	0.530	0.486	0.467	0.466	0.480	0.519	0.597	0.739	1.014	1.203	2.610	-226.856	0.702	0.913	1.037	62.401
-3.194	-58.315	-37.259	-202.610	-462.350	-1865.317	-445.225	-186.318	-108.333	-72.076	-50.980	-38.181	-30.462	-26.121	-24.258	-24.516	-27.015	-32.403	-42.127	-59.085	-89.646	-156.482	-359.207	-1300.676	-348.546	-162.161	-129.949	-39.265
